,Original Topic Num,"Label - DC:A1, RL:100",N Reviews,% Reviews,Original Topic Num,"Label - DC:E1, RL:100",N Reviews,% Reviews,Original Topic Num,"Label - DC:E1, RL:150",N Reviews,% Reviews,Original Topic Num,"Label - DC:A1, RL:150",N Reviews,% Reviews
10,16.0,Pointless classes where you learn nothing and waste time.,8985,0.043,9.0,"Teachers who have difficulty explaining concepts trying to explain difficult material. The students uniformily express difficulty passing the classes, completing the work and understanding the material.",9042,0.043,,,,,12.0,"Poor use of time. The teacher is perceived as having little respect for students time. They keep them after class, waste class time talking.",6767,0.05
11,18.0,"The worst teachers, not a lot of detail or explanation. Just described as the worst or horrible.",8941,0.042,17.0,Teachers who waste time. They complain or talk about things that are irrelevant to school work in general.,9032,0.043,,,,,11.0,**Student generally dislike this teacher. They can do whatever they want in their class or the teacher is harsh.,5612,0.041
12,8.0,Teachers that cannot or will not help or correct students which leaves them very frustrated.,7982,0.038,24.0,Students felt these teachers made their lives miserable. Gave them bad grades when they felt they deserved better.,7233,0.034,,,,,6.0,"Teachers who rely heavily on notes, books and generally leaves students feeling like they have to teach themselves to succeed.",4792,0.035
13,6.0,Talks about abismal administrators and teachers. Short reviews that comment about their innability to run a school or classroom in a way that is good for students.,6702,0.032,3.0,Mean teachers who yell at students or punish them for no apparrent reason.,7173,0.034,,,,,4.0,These are remarkably difficult teachers who usually teach AP or honors courses. Students complain about low grades or feeling unprepared for their next year of school.,4632,0.034
14,5.0,"Students warning other students to switch out. Most reviews talk about teachers who give bad grades, stress students out, or leave them unprepared.",6633,0.031,14.0,"Remarkably innapropriate or unprofessional behavior, reviews generally submitted by parents.",6852,0.032,,,,,13.0,This topic almost entirely discusses teachers that don't grade or return work on time.,4038,0.03
15,7.0,"Geniune dread and hatred of a teacher oor class, and understandibly so. Some of these stories in these are pretty outrageous.",6524,0.031,23.0,Teachers who pick favorites,6633,0.031,,,,,2.0,"Almost uniformily music, sports and arts teachers. These are teachers who managed to ruin something the students once loved :(",2837,0.021
16,21.0,"Teachers who are disrespectful to students. Unpleasent, rude and innapropriate. These teachers may also show some sort of gender or religous bias.",6053,0.029,5.0,Teachers who think they are cool or try to be but are not. Students will complain that they say one thing but do another or be nosy in their attempt to relate to students.,6485,0.031,,,,,24.0,Really mean teachers who yell at students and makes them feel terrible. Needs to do things differently to win over their students.,2617,0.019
17,14.0,Short reviews that mainly comment on picking favorites. A lot of these are music teachers.,5670,0.027,8.0,"Teachers, administrators or councelors that don't really care about students and are usually perceived to be more concerned with themselves than doing what is best for students.",4711,0.022,,,,,21.0,**Teachers that contradict themselves. They will be unreasonable or unkind to students.,1298,0.0095
18,11.0,Good people who are just bad teachers. Short reviews commenting on teachers positive personalities but inadequecy as teachers.,5658,0.027,18.0,Teachers who need to be doing something differently. Many reviews complain about teachers reacting poorly to students' actions or behavior and generally not being able to handle teenagers.,4593,0.022,,,,,19.0,Mostly parents or well spoken students complaining about administration and teacher's long-term effects on the school or bringing up very questionable personal and professional qualities.,917,0.0067
19,13.0,"Innatentive teachers. They come off as irresponsible, don't take the time to attend to student or even remember their names.",5546,0.026,7.0,**Very specific descriptions of instances and oddities that make these teachers unpleasant.,4592,0.022,,,,,16.0,Boring classes. Teachers might not care enough to engage students. They leave students feeling unprepared or asleep.,821,0.006
20,22.0,Bad teachers who are compared to other teachers. These also include sarcastic comments and what appear to be good reviews that were erroneously rated low,4124,0.02,11.0,**Students commenting on terrible instances with these teachers that don't involve teaching or classwork but other job or context-specific experiences.,2166,0.01,,,,,18.0,They treat students poorly or make them feel bad. Teachers that try too hard to be something they're not or are not in touch with how they are actually perceived by their students.,746,0.0055
21,24.0,Teachers and councelors that do not answer questions or do not take the time (or are unwilling) to help students when they ask for help.,3780,0.018,21.0,"Mostly band teachers that ruin band. However, this also includes teachers and administrators who are biassed towards atheletes, place priority on social status or their own authority.",2026,0.0096,,,,,23.0,**,75,0.00055
22,19.0,"Teachers that follow the ""industrial"" model to the letter. These teacher rely on powerpoints, notes and books to avoid actually teaching students.",1200,0.0057,20.0,**Teachers or staff that studetns dislike because the force new rules or policies that students or others find unreasonable. Generally drive students to hate whatever subject or experience they are in charge of.,1260,0.006,,,,,17.0,This topic mainly contains reviews discussing teachers who just show videos or movies instead of teaching. Funniest Topic,72,0.00053
23,23.0,Teachers that hand out and rely on excessive ammounts of notes and powerpoints. Many get their materials from elsewhere and many grade strictly based on following the letter of the notes with little flexibility.,794,0.0038,22.0,**Biased teachers. Students complain about teachers personal opinions about students affecting their behavior and grading.,928,0.0044,,,,,20.0,**In these reviews students express hatred towards teachers and really bad behavior from some teachers that are not specifically covered by any of the other topics.,54,0.0004
24,15.0,Teachers who express political opinions or treat those with differing opinions worse. Enforcing dress codes and reviews written in foreign languages fall under this category.,562,0.0027,15.0,"Teachers who talked a lot. Students feeling about them range from anger, to boredom to love but no mention of effective teaching.",618,0.0029,,,,,22.0,**,13,9.5e-05
