,Text
1199,"Not a nice human being in the slightest. She's made my friend suicidal. She's has no regard for others and by holding what she probably believes are just high expectations with strict consequences, she is breaking the students. I can say as a reliable resource I know other faculty are afraid of her and I haven't met one student who finds her the least bit likable. If u are struggling with home life or any other class, forget about trying to have a good day. She has no regard for ur wellbeing.


Submitted by a student"
1200,That woman has a serious attitude problem. very negative and not helpful. Just chats with other teachers and sits on the computer.
1298,"As a parent, I believe it is my child's responsibility to manage his classes and communicate with his teachers regarding grades, however, Ms. Pare is an unapproachable teacher who makes no effort to support the success of her students. Instead she teaches with sarcasm and degradation and insinuates it's the problem of the student when they don't understand a concept that she has not explained clearly. Very disappointing.


Submitted by a Parent"
1299,Very disappointed in the way he treated our kids and would not recommend him as a teacher or administrator.
1300,She lets her emotions out on the students & will sometimes just lash out in anger. Her sarcasm is hurtful. She also gossips about other students with students. Her class provides no new material.
1398,"Not only is she a poor teacher, but she picks favorites and she doesn't take most of her students seriously. Therefore, she doesn't gain any respect from most of her students."
1399,What does he do exactly? When student's are sent to the office for misbehaving he just returns them to the classroom. He is ineffective and not a good administrator. Beware!
1400,"Mrs. Sue Knafelc is not ""strict."" She's intolerant and unreasonable. She uses intimidation to create an unstable and nervewracking learning environment. Teachers are supposed to help their students succeed, not fail."
1498,One of only two teachers that in 25 years of continuous education I feel should be terminated for ineffectivness AND poor social abilities.
1499,"Quite possibly the strictest most power hungry human. Although she does a good job maintaining order in the school, there is minimal popularity for Cindy among the students."
1500,"Iggie should not be in the classroom. He is an excellent trainer.who cares for the kids; but, he does not know what he is doing in the classroom."
1598,"Victor, working at a therapeutic boarding school, majored in Philosophy in college. He doesn't interact with students appropriately, very unprofessional. He has a tendency to mock students when they come to him with a problem. He has the tendency to forget. He is the worst advisor on campus, most of his advisees have request a change. A lot of the teachers are surprised he is still employed at the school. This man needs to be fired, he is extremely unprofessional and inappropriate.


Submitted by a student"
1599,"Karen Curtis is perhaps the single worst educator i have ever had the misfortune of being under the tutelage of. She is completely incapable of answering even the simplest question, and refuses to put forth even the minimum effort to make sure her students are successful. She claims to have been ""an accountant by trade"", and for the sake of all the children to have happened to find themselves in her classroom, i wish that she could have remained so. This woman is Satan. Don't take this class.


Submitted by a student"
1600,"I found Mrs. Nelson to be boorish, overbearing, and condescending both with her students and parents. She yells WAY too often at the kids, and her expectations, particularly with Math, are unrealistic"
1698,Erin is concerned about her demands and does not care to understand the kids needs. She jumps to conclusions and steps out of bounds with her comments.
1699,"You have a hard job, but the raid on Friday about the skirts was unbelievable. You should try to be a little more flexible with the rules."
1700,"Ms. Margolis is a miserable person. Due to her misery, she treats her students that same way. She on many occasions told my class that we were all helpless."
1798,"I'm trying to get my parents to transfer me to Episcopal. I am not pleased with any aspect of this institution, let alone this teacher. She makes unprofessional remarks or goes ad lib off on tangents"
1799,I have discussed Benke with many other students.They agree with me wholeheartedly that he is devious and doesn;t listen to any students (probably no faculty either).We should have had an ethical Ph.D.
1800,"Unfortunately has favorites and could be touching so many other lives,which would last a lifetime, by providing fulfilling opportunities and encouragement.


Submitted by a student"
1898,This associate principal doesn't know how to relate to high school students at all. Gets worked up over little things that are unimportant to learning.
1899,"This guy only cares about test scores. Purports better pay to retain teachers but it's just not fact. Montinni? Laurie Roberts? Can someone do proper investigative reporting to make this Block sales job a reality? The teacher turnover is unacceptable. The best ones leave. The duds remain.


Submitted by a Parent"
1900,"I had a very disturbing & disappointing experience w/Mrs. Cook. She is very unprofessional & has harassed & humiliated my son in class. She needs to learn how to respect others if she demands respect towards her!!


Submitted by a Parent"
1998,"Very disorganized and too concerned with always being ""right"" to be an effective teacher. Could be fine if he was willing to change."
1999,"Mr. Zamperini is very arrogant, rude, and sarcastic. He's not only unhelpful, he ""makes fun of"" students that make an honest mistake or need some assistance."
2000,"A liar, cheater, hypocrite and a magician. He brainwashes students and parents to thinking he cares. I have seen his ""other side"" along with many others. He is not to be trusted."
2098,Does not provide adequet help for students who are being phyisically and emotionally abused at home. This man needs to be fired.
2099,I dislike Paulus greatly! he is always complaining about how tired he is. My advise is to quit one of your jobs so we dont have to hear you complain about how tired you are.WE DON'T CARE!!
2100,"She was very rude to my son. She would purposely put the blame on him and he took to self-harming. I absolutely would not recommend.


Submitted by a Parent"
2498,unhappy and unprofessional......needs to find another occupation something that does not involve students
2499,"How can this guy still be teaching. I unfortunately had both my daughter and son in his class. He made both of them feel uncomfortable. He would make comment about my son's sexuality and my daughter's endowment. I tried meeting with him, but he was conviently never available because he was a coach. He did not return my phone calls or emails. My children went to a former teacher to get him.


Submitted by a Parent"
2500,"I had a parent teachers conference, after our time talking about my child, turns out it was another child, not mine. I have heard from other kids, and parents, that he may grade based on race."
