,Text
2745,I had her for french 2 and she mixed up french and spanish ALL the time so we didn't even know what she was talking about she was teaching us the wrong thing! she got her french teaching degree ONLINE. horrible teacher. she's a snot too.
2799,what can you say about cpt davis? he can't teach nor motivate his cadets. he definitely has a problem with favoritism and he dosen't do much!
2853,She doesn't know how to teach!!! She TRIES to cram everything the day before finals. WE NEED BETTER SPANISH TEACHERS!!! We are all confused and all our grades a
2907,I don't know why she is so behind in giving her student the right info they need. She is a very slow counselor that tries to be nice even though she doesn't know what she is doing.
2961,"He does not teach all the necessary components of the French language well, and is very inconsistent"
3015,He really does bother me!!! He never knows whats going on!!! But he's (much)better than Mr.Lawerence!!!
3068,"Worst teacher ever!!!!!! Had him for Advanced Chem. and he told us that since were so smart we should know everything already! um, hello, it like his job to teach us, were not that smart."
3122,she needs to not get mad at us when we don't understand something. like please calm down. and but she is okay and can sometimes be chill.
3176,"I have no idea what i think about mr. jenkins because i dont even go to willetts middle school, but i felt like writing in this because i have nothing else to do!! ok well peaceout my homies! :) :) :)"
3230,worst teacher ever. all she wanted to do was sing and dance and some how expected you to know things.
3284,Señora Juan is an interesting teacher. Learned barely anything this year and she doesn't know english that well. She's a good person though.
3338,"i have her she is the WORST TEACHER, heavy accent, dont understand a word she says.a d she expects everyone to know what she is saying"
3391,"Talks wayyyy too much, and acts as if she knows everything, but obviously not. she takes everything too seriously needs better admin skills."
3445,she does not do a very good job and lets the kids slid by and when she is teachin math she really don't help at all
3499,SHE NEED TO TAKE HERSELF BACK TO ELEMENTARY SCHOOL AND LEARN TO SPELL AND GET HER MOOD SWINGS UNDER CONTROL!!!
3553,"she does not explain anything to us. She may know the work, but she does not know how to teach and explain it to her students"
3607,most brilliant teacher i've ever had. this man is a genius and most kids don't understand that even when he 'goes off topic' its all very connected--he thinks in an outlandish way!
3661,"I was only a TA for her class, but could obviously tell she knew nothing about teaching. She knows perfect spanish, PHD and all, but not a word of english."
3714,she assues that since we are an honors geometry class- we already know everything and that she doesnt need to teach us-which is completely wrong -learn to teach
3768,"HE DOESN'T TEACH US! EVERYDAY HE SAYS ""THIS SHOULD BE REVIEW SO I DONT NEED TO TEACH THIS."""
3822,The way she trys to teach her students doesn't seem to work. She might need to try a different approach and slow her curriculum down.
3876,SHE IS THE WORST BIOLOGY TEACHER EVER. SHE NEEDS TO GO LEARN HOW TO DEAL WITH HER STUDENTS. SHE DOENST KNOW HOW TO TEACH NO MATTER HOW MUCH SHE TRIES .
3930,She has obsessive compulsive disorder. Everything in her life has to be perfect even her students. This is why she does everything the same way. She should not be allowed to teach.
3984,she is mean to students!!!i dont know how she even got a teaching job! she doesnt know her subject so she cant explain it to us!!!
4038,I refuse to learn from somebody who cannot spells intersect as 'intercept'. This is why specific coaches should not teach.
4091,does not know how to teach. She should go back to school. She is very boring and everyhting has to be prefect. Not very helpful.
4145,"she has become mean, She needs to teach more on what we are doing, and help us better to understand the material instead of expecting us to know it, shes very confusing!!!!"
4199,can't teach at all.. adds stuff that she didn't go over on tests.. and has a couple of issues she needs to resolve...
4253,"he's not clear at all, you dont know anything about his assignments until last day(maybe not even then). He gives zeros all the time. He thinks he's cool."
4307,We never do anything new or interesting and honestly i can't say that i've learned anything new. he also spends too much time on the trombones and not enough on everyone else.
