,Text
2446,He was condescending to the students. At one point verbally abusive to a student to the point the student withdrew from the class. At the end of the semester most of the students had withdrawn. The principal defended him even though there was evidence of the verbal abuse (statements from other students). I would recommend him for no teaching job.
2494,Uses terror pshcology on students which makes classroom very uncomfortable and unwelcoming. We constantly threatens people with the term do you want an F?
2542,"He's extremely unorganized, has problems with exerting authority and being disrespectful to students, and not taking other people seriously."
2590,you need to be more considerate of your students treat us with some respect then maybe students will like you!
2638,"I have had him 2 times throuhout my JROTC career, and he's cool but he's unknown to alot of the cadets."
2686,"Very confusing, and unwilling to work with students. Gives off an ""I don't care"" attitude."
2734,"I'm a Parent of an Honor student.. my son didn't tell me until the the end of the year that Mr. Arroyo's teachings were slightly unethical.. his constant taunts and sarcasm towards his students were very insulting and undermining.. at first I said to my son,maybe it's you being too sensitive, but after speaking to several other parents they agreed and were so dissatisfied with the way he taught. He would tease, taunt and sometimes make fun of his students. he's only nice to his baseball team.."
2782,"I wish Mr. Jaeger would have listened to his students more. I probably wouldn't have lost my passion if I would have had a teacher that wasn't about favortism. Both of my parents, were not impressed."
2830,"Mr. Jackson is bad teacher. He's a nice person, but blames the students for his mistakes. When we try to help him out, he wouldn't accept our ideas. He has no idea how to discipline and is to trusting"
2878,"Verbal and written communications sent home to parents are extremely condescending. Never had a problem with my kid enjoying school until her. I've never met a teacher so rude and talks down to parents if things are not done her way. Everyday my kid comes home I hear stories of how Garcia has yelled at them and made the entire class run for ""talking"". The environment for children especially small children should be warm and welcoming not hostile. In a nutshell no I would not recommend her."
2926,Mrs. Zoz is very good at telling you what is wrong with your child but not good at offering solutions. She believes that all students should fit a particular type and fails to understand how to teach to those students who do not fit that idea.
2974,"unclear, tends to waste time of students by teaching material that is not helpful for Karcher Middle School Science. not very respectful of students and parents. a no-it-all at times. does not listen."
3022,"she is friendly to popular kids, and helps them more than she should, while ignoring her own students."
3070,"She is very ambiguous, and tends to think that students have problems when they really don't. She loves calling parents, especially when requested not to...overall she is OK."
3118,Dr. Marshall plays political games at the cost of our children's educations. She has disdain for both teachers and parents. She is also extremely vindictive.
3166,She is not meant to be a principal. She does not know how to deal with certain situations at all. When students try to express themselves to her she does not try to hear it. Instead she makes assumptions and does not give the right information. I believe she is not eligible to be dealing with students our age.
3214,"Not flowable enough to teach kids. Stifles creativity and just overall doesn't know how to create relationships, even teacher-student relationships"
3262,awful teacher. i didn't take french at the beginning of college because of him. takes particular joy in mocking students. entirely inappropriate in the classroo
3310,"Very rude, does not like kids, especially her students(unless they are a cheerleader), never available for a conference with a parent or a student when she says she will be. NO HELP what-so-ever when students ask for it, as a parent if you try to ask all you get is an attitude. Good luck to anyone who gets her as a teacher, I am truly sorry for you and your child."
3358,She is unfriendly and cold. Don't trust her at all. Very unprofessional. Thinks she is above everyone.
3406,Sarcastic teacher. Doesn't like when students ask her questions (isn't that her job). Doesn't seem to get her point across to the students. Many fail her class. She seems to think its the students
3454,Not helpful. She is too caught up into her social life. Doesn't care about her students. Learn how to teach and show compasssion toward us.
3502,You deserve NO respect because that's what you give your students. Try treating people as fellow human beings for a change (if you even know what that means).
3550,"Awful experience, our son has never struggled like he has this year. This teacher has made a few snarky comments directed towards our son, and has failed to effectively teach math. I am shocked, with all of the negative review, this teacher is still employed- funded by tax dollars, what a joke!!"
3598,"unkind, disrespectful, unhelpful, boring, upsetting, makes other stressful, ALWAYS has to stay on time and can NEVER be flexible"
3646,Hope shouldn't be allowed near elementary aged children!!! She's a bully to the children and unchristian-like to the parents...IF your child has ANY need for hands-on learning. She's a bully to the point of cruelty especially if your child is a boy. Run don't walk to the nearest exit with your child if she is assigned as your child's teacher!!!!
3694,"she makes me cry and is an absolute JOKE amongst students, please learn how to do your job"
3742,"Dr. Joe Gilhaus works for the district office now. He has made a new transfer policy in which is unfair to students in the Shawnee mission district. This man doesn't have any respect for children, and he certainly does not have what it takes to be a teacher."
3790,Barb Hilovsky may be very very very old but her level of maturity just barely matches that of an eight year old. SHe picks fights with students and is rude beyond belief. I am a straight A student but my parents had to have 3 plus meetings with her due to the rude commentary and stressful environment she put forth.
3838,"she is uncapable of respecting her students yet she acuses the students of disrespecting her. completely inefficience and unrealistic teaching philosophy. as a matter of fact, she hasnt taught us anything."
