
topic 0 words: ,like, mean, reali, teacher, hate, nice, al, say, bad, cla, fel, kid, know, wel, think
topic 14 coefs: ,0.20533347, 0.033335954, 0.03166988, 0.028767115, 0.027900264, 0.026876606, 0.019282224, 0.018563747, 0.015004765, 0.013589847, 0.013543729, 0.012765736, 0.012200735, 0.01098831, 0.010670699
topic 15 words: ,think, ned, teacher, god, student, beter, high_schol, may, know, litl, great, realiz, kid, job, schol
topic 15 coefs: ,0.16093363, 0.06991465, 0.067692295, 0.030442752, 0.026771875, 0.023451598, 0.020187346, 0.018395344, 0.016233008, 0.015861258, 0.015842754, 0.013955069, 0.012716379, 0.012683637, 0.011067139
topic 16 words: ,col, preti, weird, lol, funi, laugh, run, guy, smile, hey, like, joke, dude, gota, face
topic 16 coefs: ,0.27037928, 0.05533446, 0.039958563, 0.03616557, 0.035156097, 0.024205156, 0.02123706, 0.019246524, 0.015806926, 0.014818956, 0.014188965, 0.013349591, 0.0121377045, 0.012084024, 0.010301837
topic 17 words: ,student, opinion, respect, wil, child, want, agr, care, parent, polit, fact, believ, push, educ, posit
topic 17 coefs: ,0.0664724, 0.032494474, 0.026481451, 0.02358877, 0.018559013, 0.018400164, 0.017324261, 0.017286332, 0.014559595, 0.0103063155, 0.009916325, 0.00977019, 0.0094471555, 0.009419152, 0.007692225
topic 18 words: ,never, alway, say, anyth, wrong, someth, even, said, went, talk, ask, tel, right, got, back
topic 18 coefs: ,0.15030274, 0.061883934, 0.04823689, 0.043260403, 0.032595262, 0.031036807, 0.024302214, 0.022182824, 0.018322263, 0.017751465, 0.017179122, 0.01651779, 0.015287492, 0.014265479, 0.012224592
topic 19 words: ,grade, point, paper, hard, art, give, got, particip, esay, like, project, cla, work, test, wil
topic 19 coefs: ,0.22902738, 0.0416041, 0.021693105, 0.02108516, 0.020250747, 0.018672047, 0.016975489, 0.016941683, 0.0134743815, 0.013076995, 0.0130546475, 0.013041997, 0.012031845, 0.011693221, 0.0111193815
topic 20 words: ,love, teacher, best, awesom, scienc, great, funi, person, hilari, mi, nicest, alway, stil, met, rock
topic 20 coefs: ,0.14617884, 0.12879713, 0.107575424, 0.05560307, 0.037790593, 0.037024118, 0.020804444, 0.018452672, 0.015686546, 0.0139740035, 0.013700742, 0.011820886, 0.011760315, 0.011645955, 0.010346927
topic 21 words: ,help, math, teacher, student, tri, understand, hard, best, ask, ned, wil, alway, cla, time, wile
topic 21 coefs: ,0.19217269, 0.053943813, 0.04628336, 0.037467856, 0.03588596, 0.033679664, 0.027054831, 0.018813774, 0.017598381, 0.017525505, 0.0173055, 0.015937956, 0.015574263, 0.015068986, 0.01492742
topic 22 words: ,girl, movi, perfect, sport, boy, obses, charact, refer, kno, prepar_coleg, money, form, show, oportun, fotbal
topic 22 coefs: ,0.05786116, 0.054466944, 0.044163954, 0.033904146, 0.032979947, 0.03156141, 0.021496875, 0.019003665, 0.017142512, 0.01558328, 0.014566772, 0.0141868815, 0.014135901, 0.013931926, 0.013882468
topic 23 words: ,gave, told, group, rate, son, year_ago, present, thought, today, draw, bad, athlet, clue, state, fix
topic 23 coefs: ,0.13288341, 0.056061685, 0.04038369, 0.036933273, 0.03134052, 0.028544335, 0.02836991, 0.017393146, 0.016634526, 0.01628243, 0.014513842, 0.014084024, 0.013784843, 0.013372542, 0.012153354
topic 24 words: ,great, music, teacher, year, al, ben, band, know, coach, amaz, thank, beter, true, sinc, play
topic 24 coefs: ,0.038664553, 0.034762472, 0.032788318, 0.028196475, 0.027459748, 0.026190972, 0.022722473, 0.022052957, 0.019149784, 0.019008072, 0.018014135, 0.016507247, 0.013561178, 0.012864794, 0.011626408
