
topic 0 words: ,favorit, stil, cla, taught, best, last, al, far, wish, thank, rememb, even, time, got, learn
topic 7 words: ,fun, make, cla, learn, great, sure, reali, easi, interest, best, awesom, funi, enjoy, actuali, bore
topic 7 coefs: ,0.24702676, 0.15249726, 0.12410487, 0.068555914, 0.033403214, 0.026622675, 0.025839485, 0.02487174, 0.020789985, 0.01901248, 0.018421274, 0.014633611, 0.01447219, 0.009653035, 0.009489088
topic 8 words: ,easi, cla, give, homework, super, nice, work, chil, asign, time, preti, talk, project, long, al
topic 8 coefs: ,0.12576756, 0.07878376, 0.07206311, 0.058428206, 0.054734573, 0.047284268, 0.04139345, 0.02510989, 0.022745498, 0.021939196, 0.021615434, 0.020046134, 0.016740585, 0.015409672, 0.014104671
topic 9 words: ,alway, cla, never, laugh, best, everi, hapi, everyday, funi, period, talk, lok_forward, game, yel, wil
topic 9 coefs: ,0.17322719, 0.064535476, 0.036644533, 0.030195968, 0.026557174, 0.023086572, 0.02153369, 0.017413834, 0.016629396, 0.01626969, 0.013433017, 0.013136011, 0.011908666, 0.011889559, 0.011541578
topic 10 words: ,histori, interest, cla, knowledg, great, physic, learn, subject, recomend, extrem, experi, pasion, clase, lectur, enjoy
topic 10 coefs: ,0.05985352, 0.057360236, 0.05639189, 0.05487191, 0.029518126, 0.019937709, 0.018893747, 0.018563202, 0.018146373, 0.01790728, 0.01589751, 0.015791528, 0.014927956, 0.01387652, 0.01362442
topic 11 words: ,sometim, litl, god, bore, bit, cla, time, great, over, nice, get, although, talk, anoy, preti
topic 11 coefs: ,0.109858744, 0.06762143, 0.048140984, 0.036162388, 0.035196267, 0.02820464, 0.028075641, 0.026076691, 0.025121558, 0.024471063, 0.020252787, 0.01689949, 0.016083667, 0.01432449, 0.011545065
topic 12 words: ,ben, year, french, coleg, high_schol, best, apreci, sinc, found, languag, schol, deal, major, educ, graduat
topic 12 coefs: ,0.06392875, 0.04344631, 0.03343894, 0.033210352, 0.0258854, 0.022966022, 0.020602668, 0.018021507, 0.015193622, 0.014492792, 0.013856451, 0.013349742, 0.010631518, 0.010498091, 0.010324948
topic 13 words: ,teach, wel, know, job, god, great, style, learn, student, method, subject, organ, materi, think, difer
topic 13 coefs: ,0.31935322, 0.05863596, 0.04009034, 0.03913187, 0.037504084, 0.0340493, 0.02570656, 0.02077831, 0.015199669, 0.014391753, 0.0136050815, 0.011978414, 0.011503169, 0.01129343, 0.011131706
topic 14 words: ,grade, god, fair, point, put, hard, work, give, efort, tri, grader, wil, particip, cla, high
topic 14 coefs: ,0.14880927, 0.05327478, 0.047573913, 0.025552863, 0.025033675, 0.023539724, 0.022251364, 0.020738076, 0.020557392, 0.017953666, 0.01735889, 0.015140672, 0.013225217, 0.011796712, 0.01116068
topic 15 words: ,colest, freshman, cla, honor, tok, biolog, senior, algebra, easiest, geometri, clase, funiest, bio, probabl, taken
topic 15 coefs: ,0.056336414, 0.056195572, 0.0479296, 0.04312139, 0.035218585, 0.034921497, 0.03289865, 0.031449873, 0.025321577, 0.024083707, 0.022724634, 0.02130231, 0.021019526, 0.01926489, 0.017711107
topic 16 words: ,student, care, tri, want, reali, help, best, suce, al, relat, great, wel, actuali, learn, everyon
topic 16 coefs: ,0.23051995, 0.12920955, 0.08607011, 0.07535011, 0.07099049, 0.04111802, 0.037244115, 0.024188105, 0.022060776, 0.016314412, 0.014490491, 0.014370578, 0.011285772, 0.011003403, 0.010636692
topic 17 words: ,music, awsom, name, play, col, hey, young, lol, social_studi, choir, sing, cal, danc, wow, sound
topic 17 coefs: ,0.054115403, 0.028724866, 0.025370903, 0.025257127, 0.024949774, 0.018473055, 0.01830596, 0.017301677, 0.0155226225, 0.014050495, 0.014046885, 0.01378351, 0.012008719, 0.011779472, 0.010977716
topic 18 words: ,love, math, best, mi, absolut, amaz, awesom, funi, swet, cla, hate, like, omg, woman, everyon
topic 18 coefs: ,0.40816224, 0.10984237, 0.06569668, 0.040011227, 0.024773829, 0.02295196, 0.017215567, 0.016379071, 0.014740028, 0.013698113, 0.013054116, 0.011406228, 0.01006986, 0.009932691, 0.007909018
topic 19 words: ,test, cla, studi, note, hard, quiz, easi, give, homework, al, question, god, wil, answer, pay_atent
topic 19 coefs: ,0.1253329, 0.039395925, 0.03867962, 0.034378245, 0.028882643, 0.025617804, 0.025316762, 0.024557222, 0.02248613, 0.017960152, 0.0148048075, 0.013130822, 0.012174255, 0.01173474, 0.010259472
topic 20 words: ,cla, english, write, enjoy, read, like, bok, learn, esay, first, reali, great, thought, discus, actuali
topic 20 coefs: ,0.09891932, 0.08883093, 0.047946844, 0.044868663, 0.04378913, 0.028300496, 0.023471456, 0.02006457, 0.017503474, 0.015678925, 0.01567736, 0.0142081585, 0.013739222, 0.013380448, 0.011142068
topic 21 words: ,student, spanish, truli, learn, child, encourag, al, inspir, level, excel, son, life, clasrom, dedic, respect
topic 21 coefs: ,0.08058937, 0.042215485, 0.01680992, 0.014773359, 0.012259933, 0.010380221, 0.010062512, 0.010011998, 0.009369577, 0.00932733, 0.008802151, 0.008768185, 0.008072629, 0.007935293, 0.0075255297
topic 22 words: ,strict, time, art, take, rule, spend, half, run, long, draw, spech, short, spent, behav, club
topic 22 coefs: ,0.18282601, 0.09926378, 0.05172323, 0.031911295, 0.025110008, 0.022757867, 0.021370059, 0.018602476, 0.010105144, 0.010016598, 0.0096176015, 0.009112028, 0.00867617, 0.008674177, 0.008464724
topic 23 words: ,help, alway, ned, wile, ask, wil, student, great, schol, time, nice, extra, nede, problem, understand
topic 23 coefs: ,0.2949151, 0.07354182, 0.052285444, 0.044511784, 0.039478086, 0.037103254, 0.024565507, 0.022358224, 0.020222174, 0.01916302, 0.016456205, 0.013730857, 0.011222856, 0.011219731, 0.010801268
topic 24 words: ,scienc, rock, best, awesom, smith, cuz, lab, da, 1st, fav, trip, la, yo, babi, nd
topic 24 coefs: ,0.14875068, 0.071459524, 0.060720436, 0.023023903, 0.016512036, 0.014798935, 0.01419594, 0.013782813, 0.008919463, 0.008731743, 0.0086029675, 0.008570849, 0.008252063, 0.008006574, 0.0077667884
