
topic 0 words: ,realy, nice, clas, fun, sometimes, not, easy, like, funy, boring, col, hard, make, talk, super
topic 8 coefs: ,0.079470105, 0.040879082, 0.035704285, 0.030782068, 0.024603648, 0.023643669, 0.020303847, 0.016672235, 0.016072953, 0.015421612, 0.014387956, 0.012161308, 0.011427419, 0.011041521, 0.010294055
topic 9 words: ,best, science, clas, favorite, far, fun, probably, amazing, friend, awesome, schol, al, stil, always, rock
topic 9 coefs: ,0.24110425, 0.046384808, 0.037418567, 0.033825397, 0.0325221, 0.027342388, 0.026987579, 0.024914198, 0.019334294, 0.016215734, 0.014093598, 0.013840053, 0.012444972, 0.01238178, 0.011475807
topic 10 words: ,drama, 1st, s, acting, la, form, yo, technique, prof, artist, theater, event, 5th_grade, master, de
topic 10 coefs: ,0.039268523, 0.030068835, 0.027400713, 0.024939189, 0.023853112, 0.023320904, 0.023194289, 0.01813782, 0.0181045, 0.017577885, 0.01622502, 0.015662836, 0.014306651, 0.013498518, 0.012764739
topic 11 words: ,not, people, bad, like, mean, think, god, say, nice, clas, realy, al, on, know, kid
topic 11 coefs: ,0.15108116, 0.07762564, 0.058968052, 0.038000084, 0.033000585, 0.031437438, 0.023344181, 0.023066675, 0.02192611, 0.018926624, 0.018375704, 0.015713235, 0.013975194, 0.012733978, 0.011131677
topic 12 words: ,wil, not, anything, talk, clas, say, ask, never, wrong, on, like, else, answer, away, something
topic 12 coefs: ,0.14158727, 0.07964049, 0.040220078, 0.022883618, 0.018789047, 0.017224854, 0.014626896, 0.014048569, 0.013220229, 0.011966229, 0.010670791, 0.010457018, 0.010402177, 0.010067551, 0.010065543
topic 13 words: ,know, not, teach, learn, stuf, clas, talking, actualy, wel, realy, god, want, everything, physic, great
topic 13 coefs: ,0.12828286, 0.08001647, 0.06484869, 0.0630551, 0.05813307, 0.057760037, 0.03826372, 0.023771547, 0.01911896, 0.018319445, 0.017936448, 0.013206606, 0.012823114, 0.012799667, 0.011076678
topic 14 words: ,love, fun, clas, awesome, hate, loved, always, make, colest, health, game, gym, omg, even, great
topic 14 coefs: ,0.24216183, 0.07846233, 0.055105586, 0.05364635, 0.038271636, 0.034332685, 0.029953731, 0.018017037, 0.017336564, 0.0130155245, 0.012727299, 0.011758333, 0.011394858, 0.010748451, 0.00845653
topic 15 words: ,back, child, leave, son, month, parent, move, schol, bc, twice, party, swetest, brought, wait, desk
topic 15 coefs: ,0.048193973, 0.039077796, 0.0325183, 0.02903593, 0.025927711, 0.024476392, 0.022697179, 0.021078944, 0.016654572, 0.014799948, 0.014421892, 0.012602431, 0.012490686, 0.011362235, 0.0110241985
topic 16 words: ,us, method, da, brings, nd, together, genius, brown, isue, pain, siting, present, puting, picky, benefit
topic 16 coefs: ,0.03860569, 0.029949218, 0.023649247, 0.023417003, 0.019395836, 0.017687129, 0.016955107, 0.015654642, 0.015133779, 0.014997271, 0.014572491, 0.014445281, 0.014104571, 0.0139615, 0.011591088
topic 17 words: ,math, ap, clas, honor, got, wel, algebra, on, clases, prepares, exam, high, prepared, hard, awsome
topic 17 coefs: ,0.13523091, 0.063481964, 0.034278277, 0.031181987, 0.025796121, 0.02310127, 0.01867751, 0.017931016, 0.017013598, 0.016637173, 0.016600337, 0.016128803, 0.015960349, 0.014075804, 0.013660444
topic 18 words: ,grade, on, english, reading, esays, read, project, writing, write, paper, point, grading, bok, decent, asignments
topic 18 coefs: ,0.08490451, 0.04501188, 0.04233612, 0.028834866, 0.028752886, 0.02852772, 0.028444864, 0.027884884, 0.023021257, 0.020769862, 0.02036806, 0.019153325, 0.016680194, 0.01643475, 0.014719032
topic 19 words: ,story, tel, life, tels, real, always, mater, great, on, smile, relate, slow, heart, agre, personal
topic 19 coefs: ,0.08748466, 0.083171226, 0.072831616, 0.04117934, 0.030708998, 0.030692352, 0.027042285, 0.02380276, 0.02241572, 0.016764812, 0.016001415, 0.01496842, 0.014832609, 0.014523363, 0.013956829
topic 20 words: ,mi, rule, stop, loud, sen, sub, rom, gone, baby, upset, busines, yeling, hapen, stresed, scream
topic 20 coefs: ,0.13016629, 0.03678442, 0.034136612, 0.031029059, 0.019245045, 0.01737778, 0.014835806, 0.014315555, 0.013509152, 0.013159395, 0.012814201, 0.012125514, 0.01064888, 0.010550239, 0.009763959
topic 21 words: ,spanish, word, language, learn, speak, energetic, compared, speaking, english, unorganized, learning, speaks, miler, culture, chinese
topic 21 coefs: ,0.15772085, 0.05789338, 0.047049988, 0.023519803, 0.020944305, 0.015845686, 0.015091069, 0.014339803, 0.013043767, 0.011264288, 0.010650342, 0.009737556, 0.009587953, 0.009149379, 0.009133457
topic 22 words: ,give, homework, time, work, on, clas, asignments, lab, project, hw, late, al, lot, not, minute
topic 22 coefs: ,0.09207312, 0.06994272, 0.054627232, 0.03546446, 0.03488252, 0.034728225, 0.020837745, 0.019532349, 0.016898766, 0.016532747, 0.014365311, 0.013858546, 0.011907394, 0.0118224295, 0.010583268
topic 23 words: ,god, on, prety, overal, side, sometimes, nice, litle, strict, clas, time, not, stay, think, bit
topic 23 coefs: ,0.19647178, 0.066396676, 0.063509926, 0.039349206, 0.03111191, 0.027979793, 0.02596515, 0.022746038, 0.019157417, 0.019080928, 0.018030351, 0.016785135, 0.013118008, 0.011773903, 0.010921843
topic 24 words: ,funy, joke, hilarious, great, laugh, sense_humor, french, make, sarcastic, awesome, serious, always, dude, entertaining, strange
topic 24 coefs: ,0.16073927, 0.073428065, 0.047574766, 0.03916206, 0.036240727, 0.035921954, 0.03491, 0.034869544, 0.022167597, 0.020569684, 0.016797382, 0.016403988, 0.013209648, 0.013163883, 0.011394775
