
topic 0 words: ,alway, make, never, cla, fun, clear, teacher, right, atitud, god, nice, mistak, hapi, sens, even
topic 12 words: ,rememb, respect, student, deal, sen, wil, never, ful, perfect, smile, atent, constantli, self, open, everyon
topic 12 coefs: ,0.05173943, 0.047337525, 0.040332995, 0.019890903, 0.01641977, 0.016214563, 0.01567499, 0.014721725, 0.014312005, 0.013148193, 0.012387456, 0.012323258, 0.012203514, 0.011609191, 0.011285712
topic 13 words: ,se, histori, world, real, word, hope, speak, leav, greatest, loke, teacher, say, por, english, past
topic 13 coefs: ,0.06838857, 0.059202366, 0.044636827, 0.041694816, 0.041571125, 0.029175825, 0.027618295, 0.02326385, 0.01999277, 0.015734637, 0.015427965, 0.014514638, 0.013339499, 0.012916367, 0.012313686
topic 14 words: ,asign, project, give, work, write, homework, paper, wek, grade, cla, esay, turn, time, mani, gave
topic 14 coefs: ,0.073786244, 0.054105617, 0.040913284, 0.04035549, 0.034776047, 0.025779318, 0.024266947, 0.02242477, 0.022062318, 0.020708334, 0.01901978, 0.018526508, 0.018044215, 0.012409723, 0.011381942
topic 15 words: ,student, teach, howev, teacher, care, cla, often, opinion, knowledg, person, sem, extrem, want, interest, wel
topic 15 coefs: ,0.15190391, 0.02443328, 0.02001215, 0.019806549, 0.018692143, 0.017519927, 0.014282933, 0.014160842, 0.014075894, 0.01398949, 0.01359575, 0.008150059, 0.007512029, 0.0072162175, 0.007115603
topic 16 words: ,give, grade, test, homework, quiz, god, point, hw, teacher, al, wil, fail, studi, even, bad
topic 16 coefs: ,0.13001151, 0.11207858, 0.107505456, 0.06666368, 0.03435032, 0.025909238, 0.02157513, 0.021564258, 0.015756056, 0.015342056, 0.014639303, 0.014630279, 0.012452567, 0.010810701, 0.0102779
topic 17 words: ,like, peopl, kid, think, teacher, fel, sem, bad, god, reali, al, student, act, treat, nice
topic 17 coefs: ,0.2062854, 0.07388426, 0.06610863, 0.043714177, 0.035003003, 0.027016649, 0.024781618, 0.023327734, 0.022684008, 0.021895712, 0.018860666, 0.017188389, 0.017136784, 0.014812286, 0.014631835
topic 18 words: ,schol, job, chang, least, met, guy, nicest, head, first, ben, sub, term, think, way, come
topic 18 coefs: ,0.13706923, 0.059744224, 0.03811272, 0.036594275, 0.022008933, 0.019645462, 0.01945709, 0.019058377, 0.019026907, 0.018803736, 0.016924022, 0.014487603, 0.0143750375, 0.013481655, 0.012109207
topic 19 words: ,teacher, name, cal, coach, gym, year, child, rule, girl, al, old, parent, god, left, never
topic 19 coefs: ,0.029715082, 0.029630255, 0.029574974, 0.023998236, 0.02348287, 0.022005811, 0.019097447, 0.018012527, 0.015429649, 0.015217283, 0.014525656, 0.014033861, 0.0138538955, 0.012982348, 0.012181327
topic 20 words: ,talk, go, start, fast, rom, french, track, slow, move, kol, eat, quiet, distract, topic, fod
topic 20 coefs: ,0.3293633, 0.04693225, 0.03843691, 0.03785893, 0.02594633, 0.022670863, 0.014386788, 0.013859507, 0.012077352, 0.011336857, 0.0102220895, 0.009381049, 0.00846804, 0.008317928, 0.007064539
topic 21 words: ,read, bok, art, cla, board, easiest, write, hardest, senior, note, straight, taken, order, copi, color
topic 21 coefs: ,0.12432669, 0.10174446, 0.04399893, 0.027223222, 0.02437994, 0.024282504, 0.019788133, 0.01838045, 0.014554635, 0.013741198, 0.013519229, 0.012261109, 0.010980898, 0.010089184, 0.009884398
topic 22 words: ,help, god, wil, side, ask, teacher, stay, nice, shel, tri, wile, cla, fine, bad_side, extra
topic 22 coefs: ,0.24106531, 0.0951319, 0.08494401, 0.0416378, 0.04150666, 0.027336426, 0.024580602, 0.021544406, 0.020374017, 0.019247707, 0.016951399, 0.015878953, 0.013584043, 0.013480793, 0.0124372775
topic 23 words: ,got, last, like, cla, thought, scienc, mayb, teacher, went, seme, felt, first, stil, god, pase
topic 23 coefs: ,0.0763416, 0.06921591, 0.055205036, 0.049337402, 0.0450014, 0.044813927, 0.03515066, 0.030210486, 0.021225924, 0.020491779, 0.019593162, 0.01698454, 0.01620172, 0.014931737, 0.01483445
topic 24 words: ,favorit, play, definit, music, teacher, band, pick_favorit, god, game, chose, defin, song, spech, al, drama
topic 24 coefs: ,0.18137652, 0.09823994, 0.05125785, 0.044269193, 0.038618606, 0.02800471, 0.02696874, 0.018022696, 0.015390215, 0.014976139, 0.012923673, 0.011398163, 0.010655216, 0.009760608, 0.009411051
